session_key,driver_id,driver_number,position,points,number_of_laps,dnf,dns,dsq,duration_s,gap_to_leader_s,laps_down,q1_s,q2_s,q3_s,gap_raw
9687,12,23,12,0.00,28,f,f,f,77.302,0.863,,,,,0.863
9687,8,14,13,0.00,27,f,f,f,77.330,0.891,,,,,0.891
9687,5,7,14,0.00,30,f,f,f,77.394,0.955,,,,,0.955
9687,6,10,15,0.00,30,f,f,f,77.493,1.054,,,,,1.054
9687,7,12,16,0.00,31,f,f,f,77.634,1.195,,,,,1.195
9687,14,30,17,0.00,30,f,f,f,77.640,1.201,,,,,1.201
9687,3,5,18,0.00,29,f,f,f,77.847,1.408,,,,,1.408
9687,15,31,19,0.00,31,f,f,f,78.034,1.595,,,,,1.595
9688,19,81,1,0.00,16,f,f,f,75.921,0.000,,,,,0
9688,18,63,2,0.00,17,f,f,f,75.960,0.039,,,,,0.039
9688,1,1,3,0.00,18,f,f,f,76.002,0.081,,,,,0.081
9688,9,16,4,0.00,22,f,f,f,76.188,0.267,,,,,0.267
9688,7,12,5,0.00,20,f,f,f,76.206,0.285,,,,,0.285
9688,17,55,6,0.00,23,f,f,f,76.252,0.331,,,,,0.331
9688,12,23,7,0.00,21,f,f,f,76.258,0.337,,,,,0.337
9688,16,44,8,0.00,21,f,f,f,76.378,0.457,,,,,0.457
9688,11,22,9,0.00,17,f,f,f,76.455,0.534,,,,,0.534
9688,2,4,10,0.00,20,f,f,f,76.597,0.676,,,,,0.676
9688,3,5,11,0.00,18,f,f,f,76.707,0.786,,,,,0.786
9688,6,10,12,0.00,22,f,f,f,76.719,0.798,,,,,0.798
9688,4,6,13,0.00,18,f,f,f,76.732,0.811,,,,,0.811
9688,10,18,14,0.00,22,f,f,f,76.948,1.027,,,,,1.027
9688,5,7,15,0.00,18,f,f,f,76.993,1.072,,,,,1.072
9688,13,27,16,0.00,15,f,f,f,77.146,1.225,,,,,1.225
9688,8,14,17,0.00,22,f,f,f,77.270,1.349,,,,,1.349
9688,15,31,18,0.00,18,f,f,f,77.373,1.452,,,,,1.452
9688,20,87,19,0.00,2,f,f,f,75.921,0.000,,,,,0.0
9688,14,30,20,0.00,2,f,f,f,75.921,0.000,,,,,0.0
9689,2,4,1,0.00,20,f,f,f,,,,75.912,75.415,75.096,"[0.0, 0.0, 0.0]"
9689,19,81,2,0.00,18,f,f,f,,,,76.062,75.468,75.180,"[0.15, 0.053, 0.084]"
9689,1,1,3,0.00,17,f,f,f,,,,76.018,75.565,75.481,"[0.106, 0.15, 0.385]"
9689,18,63,4,0.00,21,f,f,f,,,,75.971,75.798,75.546,"[0.059, 0.383, 0.45]"
9689,11,22,5,0.00,18,f,f,f,,,,76.225,76.009,75.670,"[0.313, 0.594, 0.574]"
9689,12,23,6,0.00,21,f,f,f,,,,76.245,76.017,75.737,"[0.333, 0.602, 0.641]"
9689,9,16,7,0.00,20,f,f,f,,,,76.029,75.827,75.755,"[0.117, 0.412, 0.659]"
9689,16,44,8,0.00,23,f,f,f,,,,76.213,75.919,75.973,"[0.301, 0.504, 0.877]"
9689,6,10,9,0.00,21,f,f,f,,,,76.328,76.112,75.980,"[0.416, 0.697, 0.884]"
9689,17,55,10,0.00,21,f,f,f,,,,76.360,75.931,76.062,"[0.448, 0.516, 0.966]"
9689,4,6,11,0.00,12,f,f,f,,,,76.354,76.175,,"[0.442, 0.76, null]"
9689,8,14,12,0.00,13,f,f,f,,,,76.288,76.453,,"[0.376, 1.038, null]"
9689,10,18,13,0.00,15,f,f,f,,,,76.369,76.483,,"[0.457, 1.068, null]"
9689,5,7,14,0.00,15,f,f,f,,,,76.315,76.863,,"[0.403, 1.448, null]"
9689,3,5,15,0.00,13,f,f,f,,,,76.516,77.520,,"[0.604, 2.105, null]"
9689,7,12,16,0.00,9,f,f,f,,,,76.525,,,"[0.613, null, null]"
9689,13,27,17,0.00,9,f,f,f,,,,76.579,,,"[0.667, null, null]"
