session_key,driver_number,driver_id,team_id
9683,1,1,1
9683,4,2,2
9683,5,3,3
9683,6,4,4
9683,7,5,5
9683,10,6,5
9683,12,7,6
9683,14,8,7
9683,16,9,8
9683,18,10,7
9683,22,11,4
9683,23,12,9
9683,27,13,3
9683,30,14,1
9683,31,15,10
9683,44,16,8
9683,55,17,9
9683,63,18,6
9683,81,19,2
9683,87,20,10
9684,4,2,2
9684,5,3,3
9684,6,4,4
9684,7,5,5
9684,10,6,5
9684,12,7,6
9684,14,8,7
9684,16,9,8
9684,18,10,7
9684,22,11,4
9684,27,13,3
9684,30,14,1
9684,31,15,10
9684,44,16,8
9684,55,17,9
9684,63,18,6
9684,81,19,2
9684,87,20,10
9685,1,1,1
9685,4,2,2
9685,5,3,3
9685,6,4,4
9685,7,5,5
9685,10,6,5
9685,12,7,6
9685,14,8,7
9685,16,9,8
9685,18,10,7
9685,22,11,4
9685,23,12,9
9685,27,13,3
9685,31,15,10
9685,44,16,8
9685,63,18,6
9685,81,19,2
9685,87,20,10
9686,1,1,1
9686,4,2,2
9686,5,3,3
9686,6,4,4
9686,7,5,5
9686,10,6,5
9686,12,7,6
9686,14,8,7
9686,16,9,8
9686,18,10,7
9686,22,11,4
9686,23,12,9
9686,27,13,3
9686,30,14,1
9686,31,15,10
9686,44,16,8
9686,55,17,9
9686,63,18,6
9686,81,19,2
9686,87,20,10
9687,1,1,1
9687,4,2,2
9687,5,3,3
9687,6,4,4
9687,7,5,5
9687,10,6,5
9687,12,7,6
9687,14,8,7
9687,16,9,8
9687,18,10,7
9687,22,11,4
9687,23,12,9
9687,27,13,3
9687,30,14,1
9687,31,15,10
9687,44,16,8
9687,55,17,9
9687,63,18,6
9687,81,19,2
9687,87,20,10
9688,1,1,1
9688,4,2,2
9688,5,3,3
9688,6,4,4
9688,7,5,5
9688,10,6,5
9688,12,7,6
9688,14,8,7
9688,16,9,8
9688,18,10,7
9688,22,11,4
9688,23,12,9
9688,27,13,3
9688,30,14,1
9688,31,15,10
9688,44,16,8
9688,55,17,9
9688,63,18,6
9688,81,19,2
9688,87,20,10
9689,1,1,1
9689,4,2,2
9689,5,3,3
9689,6,4,4
9689,7,5,5
9689,10,6,5
9689,12,7,6
9689,14,8,7
9689,16,9,8
9689,18,10,7
9689,22,11,4
9689,23,12,9
9689,27,13,3
9689,30,14,1
9689,31,15,10
9689,44,16,8
9689,55,17,9
9689,63,18,6
9689,81,19,2
9689,87,20,10
9693,1,1,1
9693,4,2,2
9693,5,3,3
9693,6,4,4
9693,7,5,5
9693,10,6,5
9693,12,7,6
9693,14,8,7
9693,16,9,8
9693,18,10,7
9693,22,11,4
9693,23,12,9
9693,27,13,3
9693,30,14,1
9693,31,15,10
9693,44,16,8
9693,55,17,9
9693,63,18,6
9693,81,19,2
9693,87,20,10
9832,1,1,1
9832,4,2,2
9832,5,3,3
9832,6,4,4
9832,12,7,6
9832,16,9,8
9832,27,13,3
9832,34,35,7
9832,35,31,7
9832,36,28,1
9832,39,36,8
9832,40,22,4
9832,43,29,5
9832,46,24,9
9832,50,25,10
9832,55,17,9
9832,61,32,5
9832,63,18,6
9832,87,20,10
9832,89,37,2
9833,1,1,1
9833,4,2,2
9833,5,3,3
9833,6,4,4
9833,10,6,5
9833,12,7,6
9833,14,8,7
9833,16,9,8
9833,18,10,7
9833,22,11,1
9833,23,12,9
9833,27,13,3
9833,30,14,4
9833,31,15,10
9833,43,29,5
9833,44,16,8
9833,55,17,9
9833,63,18,6
9833,81,19,2
9833,87,20,10
9834,1,1,1
9834,4,2,2
9834,5,3,3
9834,6,4,4
9834,10,6,5
9834,12,7,6
9834,14,8,7
9834,16,9,8
9834,18,10,7
9834,22,11,1
9834,23,12,9
9834,27,13,3
9834,30,14,4
9834,31,15,10
9834,43,29,5
9834,44,16,8
9834,55,17,9
9834,63,18,6
9834,81,19,2
9834,87,20,10
9835,1,1,1
9835,4,2,2
9835,5,3,3
9835,6,4,4
9835,10,6,5
9835,12,7,6
9835,14,8,7
9835,16,9,8
9835,18,10,7
9835,22,11,1
9835,23,12,9
9835,27,13,3
9835,30,14,4
9835,31,15,10
9835,43,29,5
9835,44,16,8
9835,55,17,9
9835,63,18,6
9835,81,19,2
9835,87,20,10
9839,1,1,1
9839,4,2,2
9839,5,3,3
9839,6,4,4
9839,10,6,5
9839,12,7,6
9839,14,8,7
9839,16,9,8
9839,18,10,7
9839,22,11,1
9839,23,12,9
9839,27,13,3
9839,30,14,4
9839,31,15,10
9839,43,29,5
9839,44,16,8
9839,55,17,9
9839,63,18,6
9839,81,19,2
9839,87,20,10
9840,1,1,1
9840,4,2,2
9840,5,3,3
9840,6,4,4
9840,10,6,5
9840,12,7,6
9840,14,8,7
9840,16,9,8
9840,18,10,7
9840,22,11,1
9840,23,12,9
9840,27,13,3
9840,30,14,4
9840,31,15,10
9840,43,29,5
9840,44,16,8
9840,55,17,9
9840,63,18,6
9840,81,19,2
9840,87,20,10
9841,1,1,1
9841,4,2,2
9841,5,3,3
9841,6,4,4
9841,10,6,5
9841,12,7,6
9841,14,8,7
9841,16,9,8
9841,18,10,7
9841,22,11,1
9841,23,12,9
9841,27,13,3
9841,30,14,4
9841,31,15,10
9841,43,29,5
9841,44,16,8
9841,55,17,9
9841,63,18,6
9841,81,19,2
9841,87,20,10
9845,1,1,1
9845,4,2,2
9845,5,3,3
9845,6,4,4
9845,10,6,5
9845,12,7,6
9845,14,8,7
9845,16,9,8
9845,18,10,7
9845,22,11,1
9845,23,12,9
9845,27,13,3
9845,30,14,4
9845,31,15,10
9845,43,29,5
9845,44,16,8
9845,55,17,9
9845,63,18,6
9845,81,19,2
9845,87,20,10
9846,1,1,1
9846,4,2,2
9846,5,3,3
9846,6,4,4
9846,10,6,5
9846,12,7,6
9846,14,8,7
9846,16,9,8
9846,18,10,7
9846,22,11,1
9846,23,12,9
9846,27,13,3
9846,30,14,4
9846,31,15,10
9846,43,29,5
9846,44,16,8
9846,55,17,9
9846,63,18,6
9846,81,19,2
9846,87,20,10
9850,1,1,1
9850,4,2,2
9850,5,3,3
9850,6,4,4
9850,10,6,5
9850,12,7,6
9850,14,8,7
9850,16,9,8
9850,18,10,7
9850,22,11,1
