session_key,ts,air_temperature,track_temperature,humidity,pressure,rainfall,wind_speed,wind_direction
9683,2025-02-26 09:56:53.994+02,15.30,27.20,48.00,1022.70,0,2.40,29
9683,2025-02-26 09:57:53.994+02,15.40,27.30,48.00,1022.80,0,2.00,7
9683,2025-02-26 09:58:53.984+02,15.40,27.20,48.00,1022.80,0,2.00,29
9683,2025-02-26 09:59:53.994+02,15.40,27.00,48.00,1022.80,0,1.90,40
9683,2025-02-26 10:00:53.992+02,15.30,26.90,48.00,1022.80,0,2.10,1
9683,2025-02-26 10:01:54.003+02,15.30,27.00,48.00,1022.80,0,1.60,8
9683,2025-02-26 10:02:53.999+02,15.30,27.20,48.00,1022.70,0,2.40,41
9683,2025-02-26 10:03:53.994+02,15.30,27.40,49.00,1022.90,0,2.00,30
9683,2025-02-26 10:04:53.993+02,15.20,27.40,48.00,1022.70,0,2.50,54
9683,2025-02-26 10:05:53.993+02,15.20,27.60,49.00,1022.70,0,1.40,37
9683,2025-02-26 10:06:53.993+02,15.10,27.60,49.00,1022.60,0,2.20,33
9683,2025-02-26 10:07:53.997+02,15.30,27.70,49.00,1022.70,0,1.20,90
9683,2025-02-26 10:08:53.984+02,15.30,27.80,49.00,1022.50,0,1.30,140
9683,2025-02-26 10:09:53.993+02,15.40,27.80,49.00,1022.60,0,1.60,60
9683,2025-02-26 10:10:54.019+02,15.30,27.80,50.00,1022.50,0,1.20,354
9683,2025-02-26 10:11:54.024+02,15.30,27.80,49.00,1022.50,0,1.90,18
9683,2025-02-26 10:12:54.025+02,15.30,27.80,48.00,1022.50,0,2.60,110
9683,2025-02-26 10:13:54.042+02,15.40,27.60,49.00,1022.50,0,1.70,38
9683,2025-02-26 10:14:54.042+02,15.40,27.50,49.00,1022.50,0,1.80,44
9683,2025-02-26 10:15:54.044+02,15.40,27.40,49.00,1022.60,0,1.70,31
9683,2025-02-26 10:16:54.046+02,15.40,27.10,49.00,1022.50,0,1.70,39
9683,2025-02-26 10:17:54.046+02,15.30,27.00,49.00,1022.60,0,2.30,73
9683,2025-02-26 10:18:54.053+02,15.10,27.00,50.00,1022.60,0,2.50,30
9683,2025-02-26 10:19:54.055+02,15.10,27.00,51.00,1022.60,0,2.10,43
9683,2025-02-26 10:20:54.048+02,15.20,27.00,50.00,1022.60,0,1.80,1
9683,2025-02-26 10:21:54.069+02,15.30,27.10,50.00,1022.70,0,2.70,27
9683,2025-02-26 10:22:54.064+02,15.30,27.10,50.00,1022.60,0,2.60,30
9683,2025-02-26 10:23:54.081+02,15.30,27.20,50.00,1022.60,0,1.50,34
9683,2025-02-26 10:24:54.096+02,15.30,27.30,49.00,1022.40,0,2.50,11
9683,2025-02-26 10:25:54.097+02,15.30,27.30,50.00,1022.40,0,2.80,38
9683,2025-02-26 10:26:54.098+02,15.20,27.00,51.00,1022.40,0,4.40,42
9683,2025-02-26 10:27:54.099+02,15.10,27.00,52.00,1022.40,0,1.50,45
9683,2025-02-26 10:28:54.101+02,15.10,27.10,51.00,1022.40,0,1.40,32
9683,2025-02-26 10:29:54.1+02,15.20,27.10,50.00,1022.40,0,2.10,40
9683,2025-02-26 10:30:54.106+02,15.20,26.90,50.00,1022.30,0,2.00,30
9683,2025-02-26 10:31:54.1+02,15.20,26.80,50.00,1022.30,0,2.20,60
9683,2025-02-26 10:32:54.109+02,15.20,26.70,51.00,1022.30,0,1.80,28
9683,2025-02-26 10:33:54.105+02,15.10,26.70,51.00,1022.30,0,3.40,30
9683,2025-02-26 10:34:54.104+02,15.10,26.70,52.00,1022.30,0,3.10,34
9683,2025-02-26 10:35:54.105+02,15.20,26.70,52.00,1022.20,0,1.80,56
9683,2025-02-26 10:36:54.105+02,15.10,26.40,51.00,1022.20,0,2.30,39
9683,2025-02-26 10:37:54.105+02,15.10,26.30,51.00,1022.00,0,2.40,87
9683,2025-02-26 10:38:54.107+02,15.10,26.10,51.00,1022.00,0,1.80,58
9683,2025-02-26 10:39:54.119+02,15.10,26.00,51.00,1022.00,0,1.30,27
9683,2025-02-26 10:40:54.114+02,15.20,26.00,51.00,1022.00,0,1.50,3
