corner,min_speed,max_speed,mean_speed,mean_throttle,n_points,exit_speed,driver,team,lap_time,track,meeting_name
12,158,197,172.8,41.7,26,190,ALO,Aston Martin,110.002,Спа,Belgian Grand Prix
13,228,262,249.1,100.0,29,262,ALO,Aston Martin,110.002,Спа,Belgian Grand Prix
14,81,159,107.4,2.2,14,81,ALO,Aston Martin,110.002,Спа,Belgian Grand Prix
15,75,112,87.8,37.5,16,112,ALO,Aston Martin,110.002,Спа,Belgian Grand Prix
1,77,168,106.4,22.5,22,121,STR,Aston Martin,110.177,Спа,Belgian Grand Prix
2,284,305,293.9,100.0,24,284,STR,Aston Martin,110.177,Спа,Belgian Grand Prix
3,149,213,175.6,8.4,18,149,STR,Aston Martin,110.177,Спа,Belgian Grand Prix
4,147,162,153.0,50.5,19,162,STR,Aston Martin,110.177,Спа,Belgian Grand Prix
5,174,202,189.2,95.3,27,202,STR,Aston Martin,110.177,Спа,Belgian Grand Prix
6,115,205,145.6,43.3,41,167,STR,Aston Martin,110.177,Спа,Belgian Grand Prix
7,179,203,186.9,74.5,27,203,STR,Aston Martin,110.177,Спа,Belgian Grand Prix
8,253,260,256.4,100.0,30,255,STR,Aston Martin,110.177,Спа,Belgian Grand Prix
9,259,263,262.0,100.0,32,262,STR,Aston Martin,110.177,Спа,Belgian Grand Prix
10,160,234,180.8,26.2,31,170,STR,Aston Martin,110.177,Спа,Belgian Grand Prix
11,174,193,182.4,75.0,29,193,STR,Aston Martin,110.177,Спа,Belgian Grand Prix
12,158,199,173.1,53.5,26,185,STR,Aston Martin,110.177,Спа,Belgian Grand Prix
13,231,262,249.7,100.0,29,262,STR,Aston Martin,110.177,Спа,Belgian Grand Prix
14,83,154,107.0,5.9,14,83,STR,Aston Martin,110.177,Спа,Belgian Grand Prix
15,72,112,87.6,45.2,16,112,STR,Aston Martin,110.177,Спа,Belgian Grand Prix
